year,fmp,rpn,method,rpn_cv
1996,Aleutians,33439.8175391685,sq_meanprop,0.198
1997,Aleutians,24395.20160160205,sq_meanprop,0.198
1998,Aleutians,35895.804670521,sq_meanprop,0.198
1999,Aleutians,25233.49544766891,sq_meanprop,0.198
2000,Aleutians,20639.5511191742,sq_meanprop,0.198
2001,Aleutians,22328.649017755582,sq_meanprop,0.198
2002,Aleutians,19217.3525483078,sq_meanprop,0.198
2003,Aleutians,19194.02368480453,sq_meanprop,0.198
2004,Aleutians,14408.4551638048,sq_meanprop,0.198
2005,Aleutians,9992.75710282764,sq_meanprop,0.198
2006,Aleutians,6430.4336664476205,sq_meanprop,0.198
2007,Aleutians,7256.671560833944,sq_meanprop,0.198
2008,Aleutians,5300.93094352977,sq_meanprop,0.198
2009,Aleutians,10976.485765834637,sq_meanprop,0.198
2010,Aleutians,3110.95908806562,sq_meanprop,0.198
2011,Aleutians,6220.860220853756,sq_meanprop,0.198
2012,Aleutians,6677.27984797319,sq_meanprop,0.198
2013,Aleutians,8307.983570554843,sq_meanprop,0.198
2014,Aleutians,5578.90875769734,sq_meanprop,0.198
2015,Aleutians,8924.074902386728,sq_meanprop,0.198
2016,Aleutians,2962.17923590047,sq_meanprop,0.198
2017,Aleutians,8620.476548792158,sq_meanprop,0.198
2018,Aleutians,5256.83308939896,sq_meanprop,0.198
2019,Aleutians,4242.743977101718,sq_meanprop,0.198
2020,Aleutians,4791.50844231295,sq_meanprop,0.198
2021,Aleutians,6555.829563958885,sq_meanprop,0.198
2022,Aleutians,2921.93190987885,sq_meanprop,0.198
2023,Aleutians,4382.693057205626,sq_meanprop,0.198
1996,Bering Sea,78429.4665666265,sq_meanprop,0.198
1997,Bering Sea,57216.3004824379,sq_meanprop,0.198
1998,Bering Sea,84189.718110489,sq_meanprop,0.198
1999,Bering Sea,59182.4278124121,sq_meanprop,0.198
2000,Bering Sea,48407.82945527109,sq_meanprop,0.198
2001,Bering Sea,52369.4254481134,sq_meanprop,0.198
2002,Bering Sea,45072.216898946004,sq_meanprop,0.198
2003,Bering Sea,45017.5015788632,sq_meanprop,0.198
2004,Bering Sea,33793.46945367528,sq_meanprop,0.198
